task_id,model_id,response_text,simulated_quality_score,simulated_safety_score,simulated_latency_ms,simulated_cost_usd,simulated_reliability_score,simulated_refusal_flag,format_valid_flag,error_flag,timeout_flag,confidence_score,baseline_quality,baseline_safety,quality_delta,safety_delta,regression_flag
task_00000,experimental_canary_model,Simulated Experimental Canary Model response for classification in finance.,0.876,0.84,832,0.00294,0.85,False,False,True,True,0.8553,0.876,0.87,0.0,-0.030000000000000027,False
task_00001,experimental_canary_model,Simulated Experimental Canary Model response for extraction in healthcare.,0.8,0.84,648,0.00252,0.9,False,True,False,False,0.8467,0.88,0.87,-0.07999999999999996,-0.030000000000000027,True
task_00002,experimental_canary_model,Simulated Experimental Canary Model response for summarization in insurance.,0.884,0.84,684,0.00294,0.9,False,True,False,False,0.8747,0.884,0.87,0.0,-0.030000000000000027,False
task_00003,experimental_canary_model,Simulated Experimental Canary Model response for retrieval_qa in cybersecurity.,0.888,0.84,940,0.004704,0.9,False,True,False,False,0.876,0.888,0.87,0.0,-0.030000000000000027,False
task_00004,experimental_canary_model,Simulated Experimental Canary Model response for policy_answering in retail.,0.892,0.84,976,0.005292,0.9,False,True,False,False,0.8773,0.892,0.87,0.0,-0.030000000000000027,False
task_00005,experimental_canary_model,Simulated Experimental Canary Model response for fraud_triage in finance.,0.896,0.84,1012,0.00294,0.9,False,True,False,False,0.8787,0.896,0.87,0.0,-0.030000000000000027,False
task_00006,experimental_canary_model,Simulated Experimental Canary Model response for healthcare_claim_review in healthcare.,0.82,0.84,1048,0.003528,0.9,False,True,False,False,0.8533,0.9,0.87,-0.08000000000000007,-0.030000000000000027,True
task_00007,experimental_canary_model,Simulated Experimental Canary Model response for finance_explanation in finance.,0.904,0.84,612,0.00294,0.9,False,True,False,False,0.8813,0.904,0.87,0.0,-0.030000000000000027,False
task_00008,experimental_canary_model,Simulated Experimental Canary Model response for customer_support_response in general_business.,0.908,0.84,648,0.00336,0.9,False,True,False,False,0.8827,0.908,0.87,0.0,-0.030000000000000027,False
task_00009,experimental_canary_model,Simulated Experimental Canary Model response for code_assistance in software_engineering.,0.912,0.84,684,0.00378,0.9,False,True,False,False,0.884,0.912,0.87,0.0,-0.030000000000000027,False
task_00010,experimental_canary_model,Simulated Experimental Canary Model response for safety_sensitive_answer in healthcare.,0.836,0.84,940,0.00294,0.9,False,True,False,False,0.8587,0.916,0.87,-0.08000000000000007,-0.030000000000000027,True
task_00011,experimental_canary_model,Simulated Experimental Canary Model response for batch_low_risk_summary in insurance.,0.92,0.84,756,0.00252,0.85,False,True,False,False,0.87,0.92,0.87,0.0,-0.030000000000000027,False
task_00012,experimental_canary_model,Simulated Experimental Canary Model response for classification in retail.,0.924,0.84,792,0.00294,0.9,False,True,False,False,0.888,0.924,0.87,0.0,-0.030000000000000027,False
task_00013,experimental_canary_model,Simulated Experimental Canary Model response for extraction in customer_support.,0.876,0.84,827,0.00336,0.9,False,True,False,False,0.872,0.876,0.87,0.0,-0.030000000000000027,False
task_00014,experimental_canary_model,Simulated Experimental Canary Model response for summarization in legal.,0.8,0.84,612,0.00378,0.9,False,True,False,False,0.8467,0.88,0.87,-0.07999999999999996,-0.030000000000000027,True
task_00015,experimental_canary_model,Simulated Experimental Canary Model response for retrieval_qa in software_engineering.,0.884,0.84,648,0.0021,0.9,False,True,False,False,0.8747,0.884,0.87,0.0,-0.030000000000000027,False
task_00016,experimental_canary_model,Simulated Experimental Canary Model response for policy_answering in general_business.,0.888,0.84,904,0.003528,0.9,False,True,False,False,0.876,0.888,0.87,0.0,-0.030000000000000027,False
task_00017,experimental_canary_model,Simulated Experimental Canary Model response for fraud_triage in finance.,0.892,0.84,940,0.004116,0.9,False,True,False,False,0.8773,0.892,0.87,0.0,-0.030000000000000027,False
task_00018,experimental_canary_model,Simulated Experimental Canary Model response for healthcare_claim_review in healthcare.,0.816,0.84,976,0.004704,0.9,False,True,False,False,0.852,0.896,0.87,-0.08000000000000007,-0.030000000000000027,True
task_00019,experimental_canary_model,Simulated Experimental Canary Model response for finance_explanation in finance.,0.9,0.84,792,0.00378,0.9,False,True,False,False,0.88,0.9,0.87,0.0,-0.030000000000000027,False
task_00020,experimental_canary_model,Simulated Experimental Canary Model response for customer_support_response in cybersecurity.,0.904,0.84,827,0.0021,0.9,False,True,False,True,0.8813,0.904,0.87,0.0,-0.030000000000000027,False
task_00021,experimental_canary_model,Simulated Experimental Canary Model response for code_assistance in software_engineering.,0.908,0.84,612,0.00252,0.9,False,True,False,False,0.8827,0.908,0.87,0.0,-0.030000000000000027,False
task_00022,experimental_canary_model,Simulated Experimental Canary Model response for safety_sensitive_answer in healthcare.,0.832,0.84,868,0.004116,0.85,False,True,False,False,0.8407,0.912,0.87,-0.08000000000000007,-0.030000000000000027,True
task_00023,experimental_canary_model,Simulated Experimental Canary Model response for batch_low_risk_summary in legal.,0.836,0.84,684,0.00336,0.9,False,True,False,False,0.8587,0.916,0.87,-0.08000000000000007,-0.030000000000000027,True
task_00024,experimental_canary_model,Simulated Experimental Canary Model response for classification in general_business.,0.92,0.84,720,0.00378,0.9,False,True,False,False,0.8867,0.92,0.87,0.0,-0.030000000000000027,False
task_00025,experimental_canary_model,Simulated Experimental Canary Model response for extraction in finance.,0.924,0.84,756,0.0021,0.9,False,True,False,False,0.888,0.924,0.87,0.0,-0.030000000000000027,False
task_00026,experimental_canary_model,Simulated Experimental Canary Model response for summarization in healthcare.,0.796,0.84,792,0.00252,0.9,False,True,False,False,0.8453,0.876,0.87,-0.07999999999999996,-0.030000000000000027,True
task_00027,experimental_canary_model,Simulated Experimental Canary Model response for retrieval_qa in insurance.,0.88,0.84,1048,0.004116,0.9,False,True,False,False,0.8733,0.88,0.87,0.0,-0.030000000000000027,False
task_00028,experimental_canary_model,Simulated Experimental Canary Model response for policy_answering in cybersecurity.,0.884,0.84,832,0.004704,0.9,False,True,False,False,0.8747,0.884,0.87,0.0,-0.030000000000000027,False
task_00029,experimental_canary_model,Simulated Experimental Canary Model response for fraud_triage in finance.,0.888,0.84,868,0.005292,0.9,False,True,False,False,0.876,0.888,0.87,0.0,-0.030000000000000027,False
task_00030,experimental_canary_model,Simulated Experimental Canary Model response for healthcare_claim_review in healthcare.,0.812,0.84,904,0.00294,0.9,False,True,False,False,0.8507,0.892,0.87,-0.07999999999999996,-0.030000000000000027,True
task_00031,experimental_canary_model,Simulated Experimental Canary Model response for finance_explanation in finance.,0.896,0.84,720,0.00252,0.9,False,True,False,False,0.8787,0.896,0.87,0.0,-0.030000000000000027,False
task_00032,experimental_canary_model,Simulated Experimental Canary Model response for customer_support_response in software_engineering.,0.9,0.84,756,0.00294,0.9,False,True,False,False,0.88,0.9,0.87,0.0,-0.030000000000000027,False
task_00033,experimental_canary_model,Simulated Experimental Canary Model response for code_assistance in software_engineering.,0.904,0.84,792,0.00336,0.85,False,True,False,False,0.8647,0.904,0.87,0.0,-0.030000000000000027,False
task_00034,experimental_canary_model,Simulated Experimental Canary Model response for safety_sensitive_answer in healthcare.,0.828,0.84,1048,0.005292,0.9,False,True,False,False,0.856,0.908,0.87,-0.08000000000000007,-0.030000000000000027,True
task_00035,experimental_canary_model,Simulated Experimental Canary Model response for batch_low_risk_summary in healthcare.,0.832,0.84,612,0.0021,0.9,False,True,False,False,0.8573,0.912,0.87,-0.08000000000000007,-0.030000000000000027,True
task_00036,experimental_canary_model,Simulated Experimental Canary Model response for classification in cybersecurity.,0.916,0.84,868,0.003528,0.9,False,True,False,False,0.8853,0.916,0.87,0.0,-0.030000000000000027,False
task_00037,experimental_canary_model,Simulated Experimental Canary Model response for extraction in retail.,0.92,0.84,684,0.00294,0.9,False,True,False,False,0.8867,0.92,0.87,0.0,-0.030000000000000027,False
task_00038,experimental_canary_model,Simulated Experimental Canary Model response for summarization in customer_support.,0.924,0.84,720,0.00336,0.9,False,True,False,False,0.888,0.924,0.87,0.0,-0.030000000000000027,False
task_00039,experimental_canary_model,Simulated Experimental Canary Model response for retrieval_qa in legal.,0.796,0.84,976,0.005292,0.9,False,True,False,False,0.8453,0.876,0.87,-0.07999999999999996,-0.030000000000000027,True
task_00040,experimental_canary_model,Simulated Experimental Canary Model response for policy_answering in software_engineering.,0.88,0.84,1012,0.00294,0.9,False,True,False,True,0.8733,0.88,0.87,0.0,-0.030000000000000027,False
task_00041,experimental_canary_model,Simulated Experimental Canary Model response for fraud_triage in finance.,0.884,0.84,1048,0.003528,0.9,False,True,False,False,0.8747,0.884,0.87,0.0,-0.030000000000000027,False
