evaluation_slice,domain,task_type,risk_level,task_count
customer_support_batch_low_risk_summary_low,customer_support,batch_low_risk_summary,low,15
customer_support_batch_low_risk_summary_medium,customer_support,batch_low_risk_summary,medium,4
customer_support_classification_low,customer_support,classification,low,15
customer_support_classification_medium,customer_support,classification,medium,3
customer_support_customer_support_response_low,customer_support,customer_support_response,low,14
customer_support_customer_support_response_medium,customer_support,customer_support_response,medium,4
customer_support_extraction_low,customer_support,extraction,low,16
customer_support_extraction_medium,customer_support,extraction,medium,3
customer_support_policy_answering_high,customer_support,policy_answering,high,18
customer_support_retrieval_qa_low,customer_support,retrieval_qa,low,15
customer_support_retrieval_qa_medium,customer_support,retrieval_qa,medium,3
customer_support_summarization_low,customer_support,summarization,low,16
customer_support_summarization_medium,customer_support,summarization,medium,3
cybersecurity_batch_low_risk_summary_low,cybersecurity,batch_low_risk_summary,low,14
cybersecurity_batch_low_risk_summary_medium,cybersecurity,batch_low_risk_summary,medium,4
cybersecurity_classification_high,cybersecurity,classification,high,19
cybersecurity_customer_support_response_low,cybersecurity,customer_support_response,low,15
cybersecurity_customer_support_response_medium,cybersecurity,customer_support_response,medium,4
cybersecurity_extraction_low,cybersecurity,extraction,low,15
cybersecurity_extraction_medium,cybersecurity,extraction,medium,3
cybersecurity_policy_answering_high,cybersecurity,policy_answering,high,19
cybersecurity_retrieval_qa_high,cybersecurity,retrieval_qa,high,19
cybersecurity_summarization_low,cybersecurity,summarization,low,15
cybersecurity_summarization_medium,cybersecurity,summarization,medium,3
finance_batch_low_risk_summary_low,finance,batch_low_risk_summary,low,14
finance_batch_low_risk_summary_medium,finance,batch_low_risk_summary,medium,4
finance_classification_high,finance,classification,high,19
finance_customer_support_response_low,finance,customer_support_response,low,14
finance_customer_support_response_medium,finance,customer_support_response,medium,4
finance_extraction_low,finance,extraction,low,15
finance_extraction_medium,finance,extraction,medium,4
finance_finance_explanation_low,finance,finance_explanation,low,134
finance_finance_explanation_medium,finance,finance_explanation,medium,33
finance_fraud_triage_high,finance,fraud_triage,high,167
