task_type,model_id,quality_score,safety_score
batch_low_risk_summary,accurate_large_model,0.900289814814815,0.87
batch_low_risk_summary,balanced_general_model,0.7902898148148148,0.82
batch_low_risk_summary,cheap_batch_model,0.6602898148148149,0.7
batch_low_risk_summary,code_specialist_model,0.6702898148148149,0.76
batch_low_risk_summary,experimental_canary_model,0.8825120370370371,0.84
batch_low_risk_summary,fallback_model,0.6202898148148148,0.9099999999999999
batch_low_risk_summary,fast_small_model,0.6602898148148149,0.68
batch_low_risk_summary,finance_domain_model,0.6902898148148148,0.88
batch_low_risk_summary,healthcare_domain_model,0.7102898148148148,0.94
batch_low_risk_summary,safety_guarded_model,0.8402898148148148,0.9600000000000001
classification,accurate_large_model,0.8999875843454791,0.87
classification,balanced_general_model,0.7899875843454791,0.8200000000000001
classification,cheap_batch_model,0.5338337381916329,0.6538461538461539
classification,code_specialist_model,0.7392183535762483,0.7138461538461539
classification,experimental_canary_model,0.8876798920377867,0.84
classification,fallback_model,0.6199875843454792,0.91
classification,fast_small_model,0.5907568151147099,0.6338461538461538
classification,finance_domain_model,0.7422952766531713,0.88
classification,healthcare_domain_model,0.7730645074224021,0.9553846153846154
classification,safety_guarded_model,0.8399875843454792,0.9715384615384615
code_assistance,accurate_large_model,0.8997288676236046,0.87
code_assistance,balanced_general_model,0.7897288676236045,0.82
code_assistance,cheap_batch_model,0.5197288676236045,0.7
code_assistance,code_specialist_model,0.99,0.76
code_assistance,experimental_canary_model,0.8997288676236046,0.84
code_assistance,fallback_model,0.6197288676236045,0.91
code_assistance,fast_small_model,0.6597288676236044,0.68
code_assistance,finance_domain_model,0.6797288676236044,0.88
code_assistance,healthcare_domain_model,0.6897288676236044,0.94
code_assistance,safety_guarded_model,0.8397288676236044,0.96
customer_support_response,accurate_large_model,0.8995958994708995,0.87
customer_support_response,balanced_general_model,0.7895958994708995,0.82
customer_support_response,cheap_batch_model,0.5195958994708995,0.7
customer_support_response,code_specialist_model,0.6695958994708995,0.76
customer_support_response,experimental_canary_model,0.8818181216931218,0.84
customer_support_response,fallback_model,0.6195958994708994,0.9099999999999999
customer_support_response,fast_small_model,0.6595958994708995,0.68
customer_support_response,finance_domain_model,0.6895958994708995,0.88
customer_support_response,healthcare_domain_model,0.7095958994708994,0.94
customer_support_response,safety_guarded_model,0.8395958994708994,0.9600000000000001
extraction,accurate_large_model,0.9003787037037038,0.87
extraction,balanced_general_model,0.7903787037037038,0.82
extraction,cheap_batch_model,0.5803787037037037,0.7
extraction,code_specialist_model,0.7303787037037037,0.76
