task_id,model_id,simulated_quality_score,baseline_quality,quality_delta,regression_flag,production_model_id,shadow_model_id,estimated_risk
task_00000,experimental_canary_model,0.876,0.876,0.0,False,balanced_general_model,experimental_canary_model,normal
task_00001,experimental_canary_model,0.8,0.88,-0.07999999999999996,True,balanced_general_model,experimental_canary_model,elevated
task_00002,experimental_canary_model,0.884,0.884,0.0,False,balanced_general_model,experimental_canary_model,normal
task_00003,experimental_canary_model,0.888,0.888,0.0,False,balanced_general_model,experimental_canary_model,normal
task_00004,experimental_canary_model,0.892,0.892,0.0,False,balanced_general_model,experimental_canary_model,normal
task_00005,experimental_canary_model,0.896,0.896,0.0,False,balanced_general_model,experimental_canary_model,normal
task_00006,experimental_canary_model,0.82,0.9,-0.08000000000000007,True,balanced_general_model,experimental_canary_model,elevated
task_00007,experimental_canary_model,0.904,0.904,0.0,False,balanced_general_model,experimental_canary_model,normal
task_00008,experimental_canary_model,0.908,0.908,0.0,False,balanced_general_model,experimental_canary_model,normal
task_00009,experimental_canary_model,0.912,0.912,0.0,False,balanced_general_model,experimental_canary_model,normal
task_00010,experimental_canary_model,0.836,0.916,-0.08000000000000007,True,balanced_general_model,experimental_canary_model,elevated
task_00011,experimental_canary_model,0.92,0.92,0.0,False,balanced_general_model,experimental_canary_model,normal
task_00012,experimental_canary_model,0.924,0.924,0.0,False,balanced_general_model,experimental_canary_model,normal
task_00013,experimental_canary_model,0.876,0.876,0.0,False,balanced_general_model,experimental_canary_model,normal
task_00014,experimental_canary_model,0.8,0.88,-0.07999999999999996,True,balanced_general_model,experimental_canary_model,elevated
task_00015,experimental_canary_model,0.884,0.884,0.0,False,balanced_general_model,experimental_canary_model,normal
task_00016,experimental_canary_model,0.888,0.888,0.0,False,balanced_general_model,experimental_canary_model,normal
task_00017,experimental_canary_model,0.892,0.892,0.0,False,balanced_general_model,experimental_canary_model,normal
task_00018,experimental_canary_model,0.816,0.896,-0.08000000000000007,True,balanced_general_model,experimental_canary_model,elevated
task_00019,experimental_canary_model,0.9,0.9,0.0,False,balanced_general_model,experimental_canary_model,normal
task_00020,experimental_canary_model,0.904,0.904,0.0,False,balanced_general_model,experimental_canary_model,normal
task_00021,experimental_canary_model,0.908,0.908,0.0,False,balanced_general_model,experimental_canary_model,normal
task_00022,experimental_canary_model,0.832,0.912,-0.08000000000000007,True,balanced_general_model,experimental_canary_model,elevated
task_00023,experimental_canary_model,0.836,0.916,-0.08000000000000007,True,balanced_general_model,experimental_canary_model,elevated
task_00024,experimental_canary_model,0.92,0.92,0.0,False,balanced_general_model,experimental_canary_model,normal
task_00025,experimental_canary_model,0.924,0.924,0.0,False,balanced_general_model,experimental_canary_model,normal
task_00026,experimental_canary_model,0.796,0.876,-0.07999999999999996,True,balanced_general_model,experimental_canary_model,elevated
task_00027,experimental_canary_model,0.88,0.88,0.0,False,balanced_general_model,experimental_canary_model,normal
task_00028,experimental_canary_model,0.884,0.884,0.0,False,balanced_general_model,experimental_canary_model,normal
task_00029,experimental_canary_model,0.888,0.888,0.0,False,balanced_general_model,experimental_canary_model,normal
task_00030,experimental_canary_model,0.812,0.892,-0.07999999999999996,True,balanced_general_model,experimental_canary_model,elevated
task_00031,experimental_canary_model,0.896,0.896,0.0,False,balanced_general_model,experimental_canary_model,normal
task_00032,experimental_canary_model,0.9,0.9,0.0,False,balanced_general_model,experimental_canary_model,normal
task_00033,experimental_canary_model,0.904,0.904,0.0,False,balanced_general_model,experimental_canary_model,normal
task_00034,experimental_canary_model,0.828,0.908,-0.08000000000000007,True,balanced_general_model,experimental_canary_model,elevated
task_00035,experimental_canary_model,0.832,0.912,-0.08000000000000007,True,balanced_general_model,experimental_canary_model,elevated
task_00036,experimental_canary_model,0.916,0.916,0.0,False,balanced_general_model,experimental_canary_model,normal
task_00037,experimental_canary_model,0.92,0.92,0.0,False,balanced_general_model,experimental_canary_model,normal
task_00038,experimental_canary_model,0.924,0.924,0.0,False,balanced_general_model,experimental_canary_model,normal
task_00039,experimental_canary_model,0.796,0.876,-0.07999999999999996,True,balanced_general_model,experimental_canary_model,elevated
task_00040,experimental_canary_model,0.88,0.88,0.0,False,balanced_general_model,experimental_canary_model,normal
task_00041,experimental_canary_model,0.884,0.884,0.0,False,balanced_general_model,experimental_canary_model,normal
task_00042,experimental_canary_model,0.808,0.888,-0.07999999999999996,True,balanced_general_model,experimental_canary_model,elevated
task_00043,experimental_canary_model,0.892,0.892,0.0,False,balanced_general_model,experimental_canary_model,normal
task_00044,experimental_canary_model,0.896,0.896,0.0,False,balanced_general_model,experimental_canary_model,normal
task_00045,experimental_canary_model,0.9,0.9,0.0,False,balanced_general_model,experimental_canary_model,normal
task_00046,experimental_canary_model,0.824,0.904,-0.08000000000000007,True,balanced_general_model,experimental_canary_model,elevated
task_00047,experimental_canary_model,0.908,0.908,0.0,False,balanced_general_model,experimental_canary_model,normal
task_00048,experimental_canary_model,0.912,0.912,0.0,False,balanced_general_model,experimental_canary_model,normal
task_00049,experimental_canary_model,0.916,0.916,0.0,False,balanced_general_model,experimental_canary_model,normal
